variant,best_depth,best_perplexity,mean_ppl_8_24,ppl_at_8,ppl_at_16,ppl_at_24,ppl_at_32,regret_at_32_percent,adjacent_ppl_increases
fixed_am_control,10,1107.3183646209136,1112.8627663379248,1109.6599235934593,1111.3803898579642,1122.5973104709137,1136.571291063948,2.641781025012535,22
fixed_ma,12,988.4463594306275,994.0222948915614,993.5010348453457,991.4381546125857,1004.9068286025746,1023.5850645319643,3.554943044312253,20
alternating_am_ma,12,1112.3681206477745,1116.0041684948085,1115.2312850209053,1114.1214731964337,1123.12952092314,1137.3704200598938,2.2476641453514024,20
alternating_force_am,7,1124.2788631175788,1157.4410144219294,1125.267862459234,1154.9277864529358,1198.77106716115,1250.1914983116023,11.199413181608087,25
alternating_force_ma,4,2092.522001196851,2551.0172646948517,2280.132665458579,2577.266340149199,2737.1209103768824,2832.3784783973047,35.35716598331015,28
alternating_reverse_parity,4,2045.7454254373706,2240.839117321897,2136.119489999329,2244.8552731313484,2284.748366623624,2311.868757519677,13.008624082608433,17
