variant,eval_loops,loss,perplexity
fixed_am_control,4,7.09794807434082,1209.482757842548
fixed_am_control,5,7.047872066497803,1150.408144321315
fixed_am_control,6,7.025483131408691,1124.9379205793296
fixed_am_control,7,7.015850067138672,1114.1533489234478
fixed_am_control,8,7.0118088722229,1109.6599235934593
fixed_am_control,9,7.010197639465332,1107.8734427794948
fixed_am_control,10,7.0096964836120605,1107.3183646209136
fixed_am_control,11,7.009744167327881,1107.37116693403
fixed_am_control,12,7.01012659072876,1107.794732567267
fixed_am_control,13,7.010731220245361,1108.4647404937857
fixed_am_control,14,7.011484146118164,1109.2996465477354
fixed_am_control,15,7.01237678527832,1110.2902929316901
fixed_am_control,16,7.013358116149902,1111.3803898579642
fixed_am_control,17,7.014423847198486,1112.5654538137846
fixed_am_control,18,7.015565872192383,1113.836757161313
fixed_am_control,19,7.016756534576416,1115.163750533794
fixed_am_control,20,7.018001556396484,1116.5530183910998
fixed_am_control,21,7.019289493560791,1117.9919949762034
fixed_am_control,22,7.020622253417969,1119.4830031849972
fixed_am_control,23,7.021996974945068,1121.0230388862758
fixed_am_control,24,7.02340030670166,1122.5973104709137
fixed_am_control,25,7.024846076965332,1124.2215021015375
fixed_am_control,26,7.0263285636901855,1125.8893815533033
fixed_am_control,27,7.027835369110107,1127.5871565627253
fixed_am_control,28,7.02937126159668,1129.320339855334
fixed_am_control,29,7.030935287475586,1131.0880080715249
fixed_am_control,30,7.032529354095459,1132.8924755479125
fixed_am_control,31,7.034134387969971,1134.7122663696343
fixed_am_control,32,7.035771369934082,1136.571291063948
fixed_ma,4,6.958994388580322,1052.5745438722147
fixed_ma,5,6.928679466247559,1021.144632935881
fixed_ma,6,6.913729190826416,1005.991791241223
fixed_ma,7,6.905778884887695,998.0255576863254
fixed_ma,8,6.901235103607178,993.5010348453457
fixed_ma,9,6.898531436920166,990.8185670773224
fixed_ma,10,6.896999359130859,989.3017182193965
fixed_ma,11,6.89626932144165,988.5797542416187
fixed_ma,12,6.896134376525879,988.4463594306275
fixed_ma,13,6.896448612213135,988.7570133584177
fixed_ma,14,6.897099494934082,989.4007877016984
fixed_ma,15,6.898024082183838,990.3159980856335
fixed_ma,16,6.89915657043457,991.4381546125857
fixed_ma,17,6.900450229644775,992.7215676832302
fixed_ma,18,6.901890754699707,994.1526384732438
fixed_ma,19,6.90344762802124,995.7016136598122
fixed_ma,20,6.905110836029053,997.3590505060854
fixed_ma,21,6.90687370300293,999.1188124947314
