variant,seed,eval_loops,perplexity
fixed_am_control,42,4,1209.482757842548
fixed_ma,42,4,1052.5745438722147
fixed_am_control,42,5,1150.408144321315
fixed_ma,42,5,1021.144632935881
fixed_am_control,42,6,1124.9379205793296
fixed_ma,42,6,1005.991791241223
fixed_am_control,42,7,1114.1533489234478
fixed_ma,42,7,998.0255576863254
fixed_am_control,42,8,1109.6599235934593
fixed_ma,42,8,993.5010348453457
fixed_am_control,42,9,1107.8734427794948
fixed_ma,42,9,990.8185670773224
fixed_am_control,42,10,1107.3183646209136
fixed_ma,42,10,989.3017182193965
fixed_am_control,42,11,1107.37116693403
fixed_ma,42,11,988.5797542416187
fixed_am_control,42,12,1107.794732567267
fixed_ma,42,12,988.4463594306275
fixed_am_control,42,13,1108.4647404937857
fixed_ma,42,13,988.7570133584177
fixed_am_control,42,14,1109.2996465477354
fixed_ma,42,14,989.4007877016984
fixed_am_control,42,15,1110.2902929316901
fixed_ma,42,15,990.3159980856335
fixed_am_control,42,16,1111.3803898579642
fixed_ma,42,16,991.4381546125857
fixed_am_control,42,17,1112.5654538137846
fixed_ma,42,17,992.7215676832302
fixed_am_control,42,18,1113.836757161313
fixed_ma,42,18,994.1526384732438
fixed_am_control,42,19,1115.163750533794
fixed_ma,42,19,995.7016136598122
fixed_am_control,42,20,1116.5530183910998
fixed_ma,42,20,997.3590505060854
fixed_am_control,42,21,1117.9919949762034
fixed_ma,42,21,999.1188124947314
fixed_am_control,42,22,1119.4830031849972
fixed_ma,42,22,1000.963771115076
fixed_am_control,42,23,1121.0230388862758
fixed_ma,42,23,1002.8953430491455
fixed_am_control,42,24,1122.5973104709137
fixed_ma,42,24,1004.9068286025746
fixed_am_control,42,25,1124.2215021015375
fixed_ma,42,25,1006.9919709647767
fixed_am_control,42,26,1125.8893815533033
fixed_ma,42,26,1009.1540988280535
fixed_am_control,42,27,1127.5871565627253
fixed_ma,42,27,1011.3903133064566
fixed_am_control,42,28,1129.320339855334
fixed_ma,42,28,1013.6928687562845
fixed_am_control,42,29,1131.0880080715249
fixed_ma,42,29,1016.063164407545
fixed_am_control,42,30,1132.8924755479125
fixed_ma,42,30,1018.5050502304828
fixed_am_control,42,31,1134.7122663696343
fixed_ma,42,31,1021.0165810830389
fixed_am_control,42,32,1136.571291063948
fixed_ma,42,32,1023.5850645319643
fixed_am_control,43,4,1242.206802544249
fixed_ma,43,4,999.0878458712383
fixed_am_control,43,5,1175.341476894807
fixed_ma,43,5,948.9894686766064
fixed_am_control,43,6,1146.9251513779595
fixed_ma,43,6,926.911119523023
fixed_am_control,43,7,1135.3509121330226
