variant,eval_loops,seeds,mean_perplexity,std_perplexity,min_perplexity,max_perplexity
fixed_am_control,4,3,1200.5604750045395,46.75044429799388,1149.9918646268213,1242.206802544249
fixed_am_control,5,3,1148.6187631388245,27.66084663636424,1120.1066682003516,1175.341476894807
fixed_am_control,6,3,1125.6864287649892,20.874535803364378,1105.1962143376782,1146.9251513779595
fixed_am_control,7,3,1115.6145275307485,19.04787487162296,1097.3393215357755,1135.3509121330226
fixed_am_control,8,3,1111.1568223840632,18.997281145856782,1092.9522730339754,1130.8582705247547
fixed_am_control,9,3,1109.2122475129916,19.512478908997707,1090.4036485811403,1129.3596511783398
fixed_am_control,10,3,1108.496049655362,20.155189261841635,1088.9555243819577,1129.2142599632143
fixed_am_control,11,3,1108.4561004503166,20.787369270235995,1088.2324430966744,1129.7646913202454
fixed_am_control,12,3,1108.8550656374766,21.36606720728738,1088.0389070030942,1130.7315573420688
fixed_am_control,13,3,1109.5534969860269,21.87590239861635,1088.2423024249836,1131.9534480393113
fixed_am_control,14,3,1110.4630305304186,22.32274346248144,1088.7447274775145,1133.344717566006
fixed_am_control,15,3,1111.5365693760868,22.702682532915034,1089.4826952188196,1134.8367199777506
fixed_am_control,16,3,1112.7193431840005,23.013363337198925,1090.4046884715904,1136.3729512224472
fixed_am_control,17,3,1113.982715308763,23.26046027953299,1091.463291040671,1137.9194010718336
fixed_am_control,18,3,1115.310763825434,23.440845480106955,1092.6417056543742,1139.4538286606146
fixed_am_control,19,3,1116.6793565705675,23.564721931099122,1093.9090206177991,1140.9652985601097
fixed_am_control,20,3,1118.0827892792981,23.633395564194092,1095.251441196288,1142.4439082505069
fixed_am_control,21,3,1119.5145789108176,23.644994807057824,1096.6676713905033,1143.8840703657463
fixed_am_control,22,3,1120.9775739118186,23.61702288092802,1098.143331260379,1145.3063872900798
fixed_am_control,23,3,1122.4640613614638,23.537450738831367,1099.6802287887656,1146.6889164093498
fixed_am_control,24,3,1123.9730737401637,23.419493139239908,1101.2717887485674,1148.0501220010099
fixed_am_control,25,3,1125.508553543747,23.26948830954234,1102.9093016742374,1149.3948568554658
fixed_am_control,26,3,1127.0745262368293,23.085372426532075,1104.6045533129236,1150.729643844261
fixed_am_control,27,3,1128.6638809474282,22.875060280882508,1106.3461962089661,1152.058290070593
fixed_am_control,28,3,1130.27619165635,22.63904235030619,1108.1302142897418,1153.378020823974
fixed_am_control,29,3,1131.9214526865362,22.377136986308415,1109.972681767661,1154.703668220423
fixed_am_control,30,3,1133.5966470827757,22.09493373490308,1111.8622165203992,1156.0352491800152
fixed_am_control,31,3,1135.2978050247027,21.795832350832406,1113.8006416715662,1157.3805070329074
fixed_am_control,32,3,1137.0278632467207,21.473716609577597,1115.7860733855193,1158.7262252906949
fixed_ma,4,3,1022.2550837793581,27.451273693524588,999.0878458712383,1052.5745438722147
fixed_ma,5,3,982.4617534844938,36.3586943484619,948.9894686766064,1021.144632935881
fixed_ma,6,3,964.0301084867493,39.76212924647823,926.911119523023,1005.991791241223
fixed_ma,7,3,954.6722115145963,41.08269260597162,916.317613991248,998.0255576863254
fixed_ma,8,3,949.5035986155671,41.59671215178962,910.8178895872816,993.5010348453457
fixed_ma,9,3,946.5219324922545,41.763179919251684,907.8654559959962,990.8185670773224
fixed_ma,10,3,944.864240606096,41.78267511749458,906.3735972551196,989.3017182193965
fixed_ma,11,3,944.0940708100463,41.727031451517995,905.822719151804,988.5797542416187
fixed_ma,12,3,943.9548999403606,41.641326960654226,905.9173167459462,988.4463594306275
fixed_ma,13,3,944.2860832635154,41.54180055243154,906.4790583870447,988.7570133584177
fixed_ma,14,3,944.9637971216646,41.43992462074988,907.3738102411767,989.4007877016984
fixed_ma,15,3,945.9167604867769,41.342524513126506,908.5271743207387,990.3159980856335
fixed_ma,16,3,947.0737844903532,41.2546297085983,909.8650738781744,991.4381546125857
fixed_ma,17,3,948.4061673333263,41.162462828818356,911.3670251917955,992.7215676832302
fixed_ma,18,3,949.8811538679453,41.08130706853902,912.9907333718651,994.1526384732438
fixed_ma,19,3,951.483247570483,41.00065783291833,914.7246270613766,995.7016136598122
fixed_ma,20,3,953.1949287983352,40.92602340996442,916.5496554729541,997.3590505060854
fixed_ma,21,3,955.0107508350171,40.85352010566887,918.4698543161497,999.1188124947314
fixed_ma,22,3,956.9218068201369,40.78029164241895,920.4695661612545,1000.963771115076
fixed_ma,23,3,958.922039993685,40.70947780316963,922.5470929865996,1002.8953430491455
fixed_ma,24,3,961.0100881391254,40.638265642642075,924.6994142288338,1004.9068286025746
fixed_ma,25,3,963.1786100042965,40.56331625096097,926.9305670962576,1006.9919709647767
fixed_ma,26,3,965.4321756440503,40.48652577894006,929.2375528146722,1009.1540988280535
fixed_ma,27,3,967.769000818446,40.405915202847844,931.6222430821512,1011.3903133064566
fixed_ma,28,3,970.1849160226122,40.31677863040598,934.0874332564829,1013.6928687562845
fixed_ma,29,3,972.6790080818653,40.22133397977042,936.6301565334776,1016.063164407545
fixed_ma,30,3,975.2566329355228,40.11876709784593,939.2554887814072,1018.5050502304828
fixed_ma,31,3,977.9122226859247,40.00948340680017,941.963186960373,1021.0165810830389
fixed_ma,32,3,980.6502343547004,39.880207664701324,944.7647323050035,1023.5850645319643
