variant,eval_loops,seeds,mean_loss,std_loss,mean_perplexity,std_perplexity,min_perplexity,max_perplexity
random_r8_24_final,4,3,7.328470865885417,0.001711440924071788,1523.052527807265,2.605684429282886,1520.1413302344354,1525.1663726449176
random_r8_24_final,5,3,7.268409252166748,0.025061049893915065,1434.5659148891323,35.688033419014324,1393.3586258657879,1455.4939477893195
random_r8_24_final,6,3,7.23807414372762,0.03557909267299474,1391.9948964354005,49.0081942674952,1335.4198027312354,1421.399217496651
random_r8_24_final,7,3,7.223310629526774,0.03980862043317374,1371.7392962787262,53.96808835085558,1309.4524469176145,1404.5607727300535
random_r8_24_final,8,3,7.216317812601726,0.04171951072909499,1362.2503246901804,56.134496858281906,1297.4599874785347,1396.3010568053207
random_r8_24_final,9,3,7.213118076324463,0.04284601276778594,1357.9410226871046,57.447128982455624,1291.624793606985,1392.4374005688562
random_r8_24_final,10,3,7.211761633555095,0.04368793738060914,1356.1328057650558,58.48194710569153,1288.6116614134446,1390.7930647527999
random_r8_24_final,11,3,7.211317698160808,0.04437278275966647,1355.5577939435714,59.36048765670316,1287.0162881269277,1390.291126717292
random_r8_24_final,12,3,7.211342970530192,0.04492449674417015,1355.6140185108684,60.09067363006244,1286.2273154700747,1390.3633893244325
random_r8_24_final,13,3,7.211623350779216,0.0453357988859758,1356.0107159324386,60.650979924497555,1285.9777180528731,1391.3024816562393
random_r8_24_final,14,3,7.212061405181885,0.04563125546156916,1356.6168445779726,61.06817919510577,1286.1040438610473,1392.4035387200497
random_r8_24_final,15,3,7.212595621744792,0.04582801762562655,1357.3497994499035,61.36114355013557,1286.5008857151984,1393.490848767379
random_r8_24_final,16,3,7.213212807973226,0.04594479443555744,1358.1925832892282,61.55365428654478,1287.123075867892,1394.5617183239751
random_r8_24_final,17,3,7.213889757792155,0.046006270992864425,1359.1148497158192,61.67678576252483,1287.9040002692782,1395.607456958602
random_r8_24_final,18,3,7.214624722798665,0.046025366486576146,1360.114904576825,61.74741820265342,1288.8224377172203,1396.6453220923806
random_r8_24_final,19,3,7.215407848358154,0.046017155608488264,1361.180123431321,61.7848266163266,1289.843623616948,1397.6806267164025
random_r8_24_final,20,3,7.2162424723307295,0.04599454853851836,1362.315738064595,61.80628233905839,1290.9530272450322,1398.7313719896472
random_r8_24_final,21,3,7.217123508453369,0.04596243277405592,1363.5151906438907,61.817949804162446,1292.1373196542238,1399.8029313881975
random_r8_24_final,22,3,7.218052387237549,0.0459234769632842,1364.7807115263086,61.82346344551278,1293.394854925924,1400.9040355405227
random_r8_24_final,23,3,7.2190219561258955,0.04587829440170937,1366.102737817084,61.82320493015065,1294.7159667928813,1402.0314101518757
random_r8_24_final,24,3,7.220035235087077,0.04583215158694937,1367.4857792435962,61.824378635339535,1296.097139344162,1403.1991682130242
random_r8_24_final,25,3,7.221085707346599,0.0457795403402295,1368.920870810105,61.8192563897943,1297.5385618536072,1404.824007873607
random_r8_24_final,26,3,7.222177664438884,0.045714785363597264,1370.4138218001535,61.80051720900675,1299.0546789791536,1406.5499884250773
random_r8_24_final,27,3,7.223306655883789,0.045649775660237826,1371.959204088262,61.783724300188844,1300.622181473806,1408.3351698323204
random_r8_24_final,28,3,7.224469025929769,0.04557472187554775,1373.5517668790485,61.75554843435666,1302.251186357211,1410.160271815763
random_r8_24_final,29,3,7.225668430328369,0.04548578792360306,1375.1965419433511,61.71102729555156,1303.952489994775,1412.0288101800602
random_r8_24_final,30,3,7.2268961270650225,0.0453844296091077,1376.881738602092,61.65148931261389,1305.7126727630948,1413.9254442895349
random_r8_24_final,31,3,7.2281568845113116,0.045266763055356145,1378.6139179538052,61.57191352306486,1307.543813175225,1415.846229888073
random_r8_24_final,32,3,7.229442755381267,0.04513506632001918,1380.382380326204,61.47479096289282,1309.4324664113792,1417.789230277698
random_r8_24_intermediate,4,3,7.0900343259175616,0.03917151446591675,1200.5604750045395,46.75044429799388,1149.9918646268213,1242.206802544249
random_r8_24_intermediate,5,3,7.046121756235759,0.024115089115564998,1148.6187631388245,27.66084663636424,1120.1066682003516,1175.341476894807
random_r8_24_intermediate,6,3,7.026033719380696,0.018536979272447487,1125.6864287649892,20.874535803364378,1105.1962143376782,1146.9251513779595
random_r8_24_intermediate,7,3,7.017063617706299,0.017059067258902365,1115.6145275307485,19.04787487162296,1097.3393215357755,1135.3509121330226
