variant,seed,eval_loops,loss,perplexity,last_hidden_norm,last_relative_update,last_cosine_to_previous
random_r8_24_final,42,4,7.326558589935303,1520.1413302344354,5.677399635314941,0.08468089252710342,0.9946641325950623
random_r8_24_final,42,5,7.282654762268066,1454.8451710122895,5.677399635314941,0.06880627572536469,0.9964444041252136
random_r8_24_final,42,6,7.259397029876709,1421.399217496651,5.677399635314941,0.056039948016405106,0.9976319670677185
random_r8_24_final,42,7,7.2474799156188965,1404.5607727300535,5.677399635314941,0.045841414481401443,0.9984144568443298
random_r8_24_final,42,8,7.241581916809082,1396.3010568053207,5.677399635314941,0.03770497441291809,0.9989297389984131
random_r8_24_final,42,9,7.238811016082764,1392.4374005688562,5.677399635314941,0.03121183253824711,0.9992700815200806
random_r8_24_final,42,10,7.237629413604736,1390.7930647527999,5.677399635314941,0.026031749323010445,0.9994964599609375
random_r8_24_final,42,11,7.237268447875977,1390.291126717292,5.677399635314941,0.021906480193138123,0.9996474981307983
random_r8_24_final,42,12,7.237320423126221,1390.3633893244325,5.677399635314941,0.01863178238272667,0.9997487664222717
random_r8_24_final,42,13,7.237599849700928,1390.7519480882036,5.677399635314941,0.016042746603488922,0.9998162388801575
random_r8_24_final,42,14,7.238024711608887,1391.3429511528207,5.677399635314941,0.0140043580904603,0.9998621940612793
random_r8_24_final,42,15,7.2385382652282715,1392.0576638671332,5.677399635314941,0.012405176647007465,0.9998930096626282
random_r8_24_final,42,16,7.239138126373291,1392.8929556758171,5.677399635314941,0.011153033934533596,0.9999139308929443
random_r8_24_final,42,17,7.239812850952148,1393.8330919195778,5.677399635314941,0.010172462090849876,0.9999282360076904
random_r8_24_final,42,18,7.240561485290527,1394.876953920874,5.677399635314941,0.009402042254805565,0.9999385476112366
random_r8_24_final,42,19,7.241377830505371,1396.0161199606123,5.677399635314941,0.008792852982878685,0.9999455213546753
random_r8_24_final,42,20,7.242270469665527,1397.2628149591058,5.677399635314941,0.008306273259222507,0.9999505281448364
random_r8_24_final,42,21,7.243230819702148,1398.6053208892508,5.677399635314941,0.007912492379546165,0.9999545216560364
random_r8_24_final,42,22,7.244258403778076,1400.043244112479,5.677399635314941,0.007588236592710018,0.9999573230743408
random_r8_24_final,42,23,7.245341777801514,1401.5608365064954,5.677399635314941,0.007315988186746836,0.9999597668647766
random_r8_24_final,42,24,7.246482849121094,1403.1610301736025,5.677399635314941,0.00708226440474391,0.9999614357948303
random_r8_24_final,42,25,7.24766731262207,1404.824007873607,5.677399635314941,0.0068769329227507114,0.9999633431434631
random_r8_24_final,42,26,7.248895168304443,1406.5499884250773,5.677399635314941,0.0066922372207045555,0.999965250492096
random_r8_24_final,42,27,7.250163555145264,1408.3351698323204,5.677399635314941,0.006522336974740028,0.9999666213989258
random_r8_24_final,42,28,7.251458644866943,1410.160271815763,5.677399635314941,0.0063629066571593285,0.9999676942825317
random_r8_24_final,42,29,7.252782821655273,1412.0288101800602,5.677399635314941,0.006210801657289267,0.9999690651893616
random_r8_24_final,42,30,7.254125118255615,1413.9254442895349,5.677399635314941,0.006063849199563265,0.9999701976776123
random_r8_24_final,42,31,7.2554826736450195,1415.846229888073,5.677399635314941,0.005920371972024441,0.9999711513519287
random_r8_24_final,42,32,7.256854057312012,1417.789230277698,5.677399635314941,0.005779290106147528,0.9999724626541138
