variant,eval_loops,loss,perplexity
uniform_intermediate_control,4,7.09794807434082,1209.482757842548
uniform_intermediate_control,5,7.047872066497803,1150.408144321315
uniform_intermediate_control,6,7.025483131408691,1124.9379205793296
uniform_intermediate_control,7,7.015850067138672,1114.1533489234478
uniform_intermediate_control,8,7.0118088722229,1109.6599235934593
uniform_intermediate_control,9,7.010197639465332,1107.8734427794948
uniform_intermediate_control,10,7.0096964836120605,1107.3183646209136
uniform_intermediate_control,11,7.009744167327881,1107.37116693403
uniform_intermediate_control,12,7.01012659072876,1107.794732567267
uniform_intermediate_control,13,7.010731220245361,1108.4647404937857
uniform_intermediate_control,14,7.011484146118164,1109.2996465477354
uniform_intermediate_control,15,7.01237678527832,1110.2902929316901
uniform_intermediate_control,16,7.013358116149902,1111.3803898579642
uniform_intermediate_control,17,7.014423847198486,1112.5654538137846
uniform_intermediate_control,18,7.015565872192383,1113.836757161313
uniform_intermediate_control,19,7.016756534576416,1115.163750533794
uniform_intermediate_control,20,7.018001556396484,1116.5530183910998
uniform_intermediate_control,21,7.019289493560791,1117.9919949762034
uniform_intermediate_control,22,7.020622253417969,1119.4830031849972
uniform_intermediate_control,23,7.021996974945068,1121.0230388862758
uniform_intermediate_control,24,7.02340030670166,1122.5973104709137
uniform_intermediate_control,25,7.024846076965332,1124.2215021015375
uniform_intermediate_control,26,7.0263285636901855,1125.8893815533033
uniform_intermediate_control,27,7.027835369110107,1127.5871565627253
uniform_intermediate_control,28,7.02937126159668,1129.320339855334
uniform_intermediate_control,29,7.030935287475586,1131.0880080715249
uniform_intermediate_control,30,7.032529354095459,1132.8924755479125
uniform_intermediate_control,31,7.034134387969971,1134.7122663696343
uniform_intermediate_control,32,7.035771369934082,1136.571291063948
hard_token_g05,4,7.0776519775390625,1185.1824139428286
hard_token_g05,5,7.051816463470459,1154.9547716798872
hard_token_g05,6,7.039621353149414,1140.955505618426
hard_token_g05,7,7.033816814422607,1134.3519689834543
hard_token_g05,8,7.031102180480957,1131.2767945016603
hard_token_g05,9,7.030019760131836,1130.0529399608254
hard_token_g05,10,7.029866695404053,1129.8799819524127
hard_token_g05,11,7.030296325683594,1130.3655168976952
hard_token_g05,12,7.031099319458008,1131.2735578974193
hard_token_g05,13,7.032146453857422,1132.4587737869074
hard_token_g05,14,7.033339500427246,1133.810656111375
hard_token_g05,15,7.034615516662598,1135.2583403542578
hard_token_g05,16,7.035933017730713,1136.755030158972
hard_token_g05,17,7.03726863861084,1138.27431828346
hard_token_g05,18,7.038607120513916,1139.7988979427494
hard_token_g05,19,7.039938926696777,1141.3179004461888
hard_token_g05,20,7.041273593902588,1142.8421970073612
hard_token_g05,21,7.042596340179443,1144.3548875007875
hard_token_g05,22,7.043918132781982,1145.8684874379935
hard_token_g05,23,7.045244216918945,1147.3890134120975
hard_token_g05,24,7.046565532684326,1148.906078644931
hard_token_g05,25,7.047893047332764,1150.4322810979327
hard_token_g05,26,7.049233436584473,1151.975342082487
hard_token_g05,27,7.050580978393555,1153.5287234070536
hard_token_g05,28,7.05194091796875,1155.0985199414188
hard_token_g05,29,7.053310394287109,1156.6814836781264
hard_token_g05,30,7.054683685302734,1158.2710351761818
hard_token_g05,31,7.05607795715332,1159.8871062352675
hard_token_g05,32,7.05748176574707,1161.5165091400947
