variant,best_depth,best_perplexity,ppl_at_8,ppl_at_11,ppl_at_16,ppl_at_24,ppl_at_32,regret_at_32_percent,adjacent_ppl_increases
uniform_intermediate_control,10,1107.3183646209136,1109.6599235934593,1107.37116693403,1111.3803898579642,1122.5973104709137,1136.571291063948,2.641781025012535,22
hard_token_g05,10,1129.8799819524127,1131.2767945016603,1130.3655168976952,1136.755030158972,1148.906078644931,1161.5165091400947,2.7999900602730055,22
