variant,noise_mode,noise_std,noise_warmup_steps,eval_loops,loss,perplexity,last_hidden_norm,last_relative_update,last_cosine_to_previous
control_r16,relative,0.0,30,1,8.237207412719727,3778.9724488105608,6.8362345695495605,17.84880828857422,0.056175392121076584
control_r16,relative,0.0,30,2,7.606540203094482,2011.3073310717439,13.469456672668457,1.140807867050171,0.8928775787353516
control_r16,relative,0.0,30,4,7.363030433654785,1576.6071341768268,28.53554916381836,0.388531893491745,0.993392825126648
control_r16,relative,0.0,30,8,7.270852088928223,1437.7750434283316,59.93781661987305,0.15683399140834808,0.9993482828140259
control_r16,relative,0.0,30,12,7.257408142089844,1418.575023386265,92.00601959228516,0.09782302379608154,0.9998173117637634
control_r16,relative,0.0,30,16,7.256990909576416,1417.983271221478,124.46968841552734,0.07097864151000977,0.9999265074729919
control_r16,relative,0.0,30,20,7.259092807769775,1420.9668622012646,157.20741271972656,0.05566021800041199,0.9999638795852661
control_r16,relative,0.0,30,24,7.261512279510498,1424.4090137839535,190.15151977539062,0.04576530307531357,0.9999797344207764
control_r16,relative,0.0,30,32,7.265706539154053,1430.3959015305338,256.5018005371094,0.033745408058166504,0.9999917149543762
relative_s003_r16,relative,0.03,30,1,8.834733963012695,6868.726267553371,6.389836311340332,16.629919052124023,0.1136869415640831
relative_s003_r16,relative,0.03,30,2,7.967678546905518,2886.1495205250444,12.059157371520996,1.0520738363265991,0.8928473591804504
relative_s003_r16,relative,0.03,30,4,7.425048828125,1677.4814792930374,25.305028915405273,0.41220301389694214,0.9855474829673767
relative_s003_r16,relative,0.03,30,8,7.279824256896973,1450.733046382501,56.4346809387207,0.17256006598472595,0.9990741610527039
relative_s003_r16,relative,0.03,30,12,7.259363174438477,1421.3510962178275,89.576171875,0.10550420731306076,0.9997683763504028
relative_s003_r16,relative,0.03,30,16,7.258183479309082,1419.6753238970273,123.57241821289062,0.07550381869077682,0.9999115467071533
relative_s003_r16,relative,0.03,30,20,7.260667324066162,1423.205959967808,158.07798767089844,0.058646976947784424,0.9999582171440125
relative_s003_r16,relative,0.03,30,24,7.263607025146484,1427.3959156570686,192.93112182617188,0.0478859469294548,0.999977171421051
relative_s003_r16,relative,0.03,30,32,7.268716812133789,1434.708271111586,263.3485107421875,0.03497282788157463,0.9999911189079285
spherical_s003_r16,norm_preserving,0.03,30,1,8.818676948547363,6759.315784118907,6.420142650604248,16.732725143432617,0.10213299840688705
spherical_s003_r16,norm_preserving,0.03,30,2,8.04445743560791,3116.4737571828296,11.899889945983887,1.009047269821167,0.903817355632782
spherical_s003_r16,norm_preserving,0.03,30,4,7.467916011810303,1750.953913453826,24.770381927490234,0.4107424020767212,0.9844987392425537
spherical_s003_r16,norm_preserving,0.03,30,8,7.2894182205200195,1464.7183062217239,55.71086883544922,0.17591264843940735,0.9989684224128723
spherical_s003_r16,norm_preserving,0.03,30,12,7.262272357940674,1425.4920879095764,89.1170425415039,0.10736952722072601,0.9997501373291016
spherical_s003_r16,norm_preserving,0.03,30,16,7.259092807769775,1420.9668622012646,123.52082061767578,0.07659700512886047,0.9999070763587952
spherical_s003_r16,norm_preserving,0.03,30,20,7.260678768157959,1423.2222473606566,158.4886932373047,0.059346310794353485,0.9999566674232483
spherical_s003_r16,norm_preserving,0.03,30,24,7.263164520263672,1426.7644257236775,193.82815551757812,0.04836399853229523,0.9999768137931824
spherical_s003_r16,norm_preserving,0.03,30,32,7.267955780029297,1433.6168274212116,265.2450256347656,0.03522831201553345,0.9999909996986389
