variant,eval_loops,loss,perplexity,last_loop_update_alpha,last_hidden_norm,last_relative_update,last_cosine_to_previous
fixed_r16_final,1,7.54849100112915,1897.8766756854377,1.0,14.178848266601562,38.411888122558594,0.21109704673290253
fixed_r16_final,2,7.547593116760254,1896.173366685943,0.2504136860370636,14.178848266601562,0.03479623794555664,0.9991840720176697
fixed_r16_final,4,7.547459125518799,1895.9193130833855,0.2503434419631958,14.178848266601562,0.02195938490331173,0.9996673464775085
fixed_r16_final,8,7.548604488372803,1898.0920727003288,0.2502732276916504,14.178848266601562,0.008695080876350403,0.9999459385871887
fixed_r16_final,12,7.549427509307861,1899.654885238332,0.25023213028907776,14.178848266601562,0.003455030731856823,0.9999912977218628
fixed_r16_final,16,7.549798488616943,1900.3597486319356,0.2502029836177826,14.178848266601562,0.0013860907638445497,0.9999989867210388
fixed_r16_final,20,7.549989223480225,1900.7222480583164,0.25018036365509033,14.178848266601562,0.0005630841478705406,0.9999998807907104
fixed_r16_final,24,7.550053596496582,1900.8446072209535,0.25016191601753235,14.178848266601562,0.0002328624832443893,1.0
fixed_r16_final,32,7.550101280212402,1900.9352487160672,0.2501327693462372,14.178848266601562,4.591407923726365e-05,1.0
random_r8_24_final,1,7.756195068359375,2335.999356224786,1.0,5.673950672149658,14.78797435760498,0.08370164781808853
random_r8_24_final,2,7.5398759841918945,1881.5966629620023,0.24689677357673645,5.673950672149658,0.12653009593486786,0.9885895848274231
random_r8_24_final,4,7.324132919311523,1516.4584366149325,0.24361851811408997,5.673950672149658,0.08467323333024979,0.994645357131958
random_r8_24_final,8,7.239484786987305,1393.3759005072263,0.24036994576454163,5.673950672149658,0.03770092874765396,0.9989233016967773
random_r8_24_final,12,7.235461235046387,1387.7808437472372,0.23848339915275574,5.673950672149658,0.018613450229167938,0.9997467398643494
random_r8_24_final,16,7.237483978271484,1390.5908090078653,0.23715107142925262,5.673950672149658,0.01113147847354412,0.9999134540557861
random_r8_24_final,20,7.2408318519592285,1395.2541331422008,0.23612117767333984,5.673950672149658,0.008291424252092838,0.9999504089355469
random_r8_24_final,24,7.245279312133789,1401.4732898073464,0.23528200387954712,5.673950672149658,0.007078684866428375,0.9999615550041199
random_r8_24_final,32,7.256153583526611,1416.7964538361946,0.2339620441198349,5.673950672149658,0.0057936543598771095,0.9999722838401794
random_r8_24_intermediate,1,7.722878932952881,2259.4550456646493,1.0,4.123262882232666,10.349421501159668,0.10227156430482864
random_r8_24_intermediate,2,7.3997721672058105,1635.6117415489273,0.2462495118379593,4.123262882232666,0.1539534479379654,0.985559344291687
random_r8_24_intermediate,4,7.098339557647705,1209.9563428464714,0.24236728250980377,4.123262882232666,0.10201219469308853,0.9932078123092651
random_r8_24_intermediate,8,7.011704444885254,1109.5440508121937,0.2385268658399582,4.123262882232666,0.041201379150152206,0.9988766312599182
random_r8_24_intermediate,12,7.009957313537598,1107.6072240574586,0.23629982769489288,4.123262882232666,0.020458560436964035,0.9997281432151794
random_r8_24_intermediate,16,7.013284683227539,1111.298780944507,0.23472845554351807,4.123262882232666,0.012334086932241917,0.9998987317085266
random_r8_24_intermediate,20,7.017961502075195,1116.5082965134231,0.23351459205150604,4.123262882232666,0.008700242266058922,0.9999457597732544
random_r8_24_intermediate,24,7.023346900939941,1122.537358907338,0.2325260490179062,4.123262882232666,0.00692836195230484,0.9999624490737915
random_r8_24_intermediate,32,7.035547256469727,1136.3165986754834,0.23097217082977295,4.123262882232666,0.005415766499936581,0.9999750256538391
